folder,file,fullpath
"Born of Osiris - Soul Sphere (2015)","09 - The Louder the Sound, the More We All Believe.flac","C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/Born of Osiris - Soul Sphere (2015)/09 - The Louder the Sound, the More We All Believe.flac"
"Born of Osiris - Soul Sphere (2015)","10 - Warlords.flac","C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/Born of Osiris - Soul Sphere (2015)/10 - Warlords.flac"
"Born of Osiris - Soul Sphere (2015)","11 - River of Time.flac","C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/Born of Osiris - Soul Sphere (2015)/11 - River of Time.flac"
"Born of Osiris - Soul Sphere (2015)","12 - The Composer.flac","C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/Born of Osiris - Soul Sphere (2015)/12 - The Composer.flac"
"Born of Osiris - The Discovery (Fye Edition) (FLAC)","01 Follow the Signs.flac","C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/Born of Osiris - The Discovery (Fye Edition) (FLAC)/01 Follow the Signs.flac"
"Born of Osiris - The Discovery (Fye Edition) (FLAC)","02 Singularity.flac","C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/Born of Osiris - The Discovery (Fye Edition) (FLAC)/02 Singularity.flac"
"Born of Osiris - The Discovery (Fye Edition) (FLAC)","03 Ascension.flac","C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/Born of Osiris - The Discovery (Fye Edition) (FLAC)/03 Ascension.flac"
"Born of Osiris - The Discovery (Fye Edition) (FLAC)","04 Devastate.flac","C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/Born of Osiris - The Discovery (Fye Edition) (FLAC)/04 Devastate.flac"
"Born of Osiris - The Discovery (Fye Edition) (FLAC)","05 Recreate.flac","C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/Born of Osiris - The Discovery (Fye Edition) (FLAC)/05 Recreate.flac"
"Born of Osiris - The Discovery (Fye Edition) (FLAC)","06 Two Worlds of Design.flac","C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/Born of Osiris - The Discovery (Fye Edition) (FLAC)/06 Two Worlds of Design.flac"
"Born of Osiris - The Discovery (Fye Edition) (FLAC)","07 A Solution.flac","C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/Born of Osiris - The Discovery (Fye Edition) (FLAC)/07 A Solution.flac"
"Born of Osiris - The Discovery (Fye Edition) (FLAC)","08 Shaping the Masterpiece.flac","C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/Born of Osiris - The Discovery (Fye Edition) (FLAC)/08 Shaping the Masterpiece.flac"
"Born of Osiris - The Discovery (Fye Edition) (FLAC)","09 Dissimulation.flac","C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/Born of Osiris - The Discovery (Fye Edition) (FLAC)/09 Dissimulation.flac"
"Born of Osiris - The Discovery (Fye Edition) (FLAC)","10 Automatic Motion.flac","C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/Born of Osiris - The Discovery (Fye Edition) (FLAC)/10 Automatic Motion.flac"
"Born of Osiris - The Discovery (Fye Edition) (FLAC)","11 The Omniscient.flac","C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/Born of Osiris - The Discovery (Fye Edition) (FLAC)/11 The Omniscient.flac"
"Born of Osiris - The Discovery (Fye Edition) (FLAC)","12 Last Straw.flac","C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/Born of Osiris - The Discovery (Fye Edition) (FLAC)/12 Last Straw.flac"
"Born of Osiris - The Discovery (Fye Edition) (FLAC)","13 Regenerate.flac","C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/Born of Osiris - The Discovery (Fye Edition) (FLAC)/13 Regenerate.flac"
"Born of Osiris - The Discovery (Fye Edition) (FLAC)","14 XIV.flac","C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/Born of Osiris - The Discovery (Fye Edition) (FLAC)/14 XIV.flac"
"Born of Osiris - The Discovery (Fye Edition) (FLAC)","15 Behold.flac","C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/Born of Osiris - The Discovery (Fye Edition) (FLAC)/15 Behold.flac"
"Born of Osiris - The Discovery (Fye Edition) (FLAC)","16 Follow the Signs (Misha Mansoor Demo Mix).flac","C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/Born of Osiris - The Discovery (Fye Edition) (FLAC)/16 Follow the Signs (Misha Mansoor Demo Mix).flac"
"Born of Osiris - The Discovery (Fye Edition) (FLAC)","17 Singularity (Misha Mansoor Demo Mix).flac","C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/Born of Osiris - The Discovery (Fye Edition) (FLAC)/17 Singularity (Misha Mansoor Demo Mix).flac"
"Born of Osiris - The Discovery (Fye Edition) (FLAC)","18 Recreate (Misha Mansoor Demo Mix).flac","C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/Born of Osiris - The Discovery (Fye Edition) (FLAC)/18 Recreate (Misha Mansoor Demo Mix).flac"
"Born Of Osiris - The Eternal Reign - 2017","01 - Rosecrance.flac","C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/Born Of Osiris - The Eternal Reign - 2017/01 - Rosecrance.flac"
"Born Of Osiris - The Eternal Reign - 2017","02 - Empires Erased.flac","C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/Born Of Osiris - The Eternal Reign - 2017/02 - Empires Erased.flac"
"Born Of Osiris - The Eternal Reign - 2017","03 - Open Arms To Damnation.flac","C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/Born Of Osiris - The Eternal Reign - 2017/03 - Open Arms To Damnation.flac"
"Born Of Osiris - The Eternal Reign - 2017","04 - Abstract Art.flac","C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/Born Of Osiris - The Eternal Reign - 2017/04 - Abstract Art.flac"
"Born Of Osiris - The Eternal Reign - 2017","05 - The New Reign.flac","C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/Born Of Osiris - The Eternal Reign - 2017/05 - The New Reign.flac"
"Born Of Osiris - The Eternal Reign - 2017","06 - Brace Legs.flac","C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/Born Of Osiris - The Eternal Reign - 2017/06 - Brace Legs.flac"
"Born Of Osiris - The Eternal Reign - 2017","07 - Bow Down.flac","C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/Born Of Osiris - The Eternal Reign - 2017/07 - Bow Down.flac"
"Born Of Osiris - The Eternal Reign - 2017","08 - The Takeover.flac","C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/Born Of Osiris - The Eternal Reign - 2017/08 - The Takeover.flac"
"Born Of Osiris - The Eternal Reign - 2017","09 - Glorious Day.flac","C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/Born Of Osiris - The Eternal Reign - 2017/09 - Glorious Day.flac"
"Born of Osiris - The Simulation (2019)","01 The Accursed.flac","C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/Born of Osiris - The Simulation (2019)/01 The Accursed.flac"
"Born of Osiris - The Simulation (2019)","02 Disconnectome.flac","C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/Born of Osiris - The Simulation (2019)/02 Disconnectome.flac"
"Born of Osiris - The Simulation (2019)","03 Cycles of Tragedy.flac","C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/Born of Osiris - The Simulation (2019)/03 Cycles of Tragedy.flac"
"Born of Osiris - The Simulation (2019)","04 Under the Gun.flac","C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/Born of Osiris - The Simulation (2019)/04 Under the Gun.flac"
"Born of Osiris - The Simulation (2019)","05 Recursion.flac","C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/Born of Osiris - The Simulation (2019)/05 Recursion.flac"
"Born of Osiris - The Simulation (2019)","06 Analogs in a Cell.flac","C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/Born of Osiris - The Simulation (2019)/06 Analogs in a Cell.flac"
"Born of Osiris - The Simulation (2019)","07 Silence the Echo.flac","C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/Born of Osiris - The Simulation (2019)/07 Silence the Echo.flac"
"Born of Osiris - The Simulation (2019)","08 One Without the Other.flac","C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/Born of Osiris - The Simulation (2019)/08 One Without the Other.flac"
